11:02:35,204 INFO  [org.jboss.as.osgi] (ServerService Thread Pool -- 49) JBAS011940: Activating OSGi Subsystem
11:02:35,205 INFO  [org.jboss.as.configadmin] (ServerService Thread Pool -- 32) JBAS016200: Activating ConfigAdmin Subsystem
11:02:35,219 INFO  [org.jboss.as.security] (MSC service thread 1-4) JBAS013100: Current PicketBox version=4.0.7.Final
11:02:35,228 INFO  [org.jboss.as.connector] (MSC service thread 1-10) JBAS010408: Starting JCA Subsystem (JBoss IronJacamar 1.0.9.Final)
11:02:35,250 INFO  [org.jboss.as.naming] (MSC service thread 1-10) JBAS011802: Starting Naming Service
11:02:35,254 INFO  [org.jboss.as.mail.extension] (MSC service thread 1-13) JBAS015400: Bound mail session [java:jboss/mail/Default]
11:02:35,276 INFO  [org.jboss.jaxr] (MSC service thread 1-10) JBAS014000: Started JAXR subsystem, binding JAXR connection factory into JNDI as: java:jboss/jaxr/ConnectionFactory
11:02:35,308 INFO  [org.jboss.ws.common.management.AbstractServerConfig] (MSC service thread 1-5) JBoss Web Services - Stack CXF Server 4.0.2.GA
11:02:35,327 INFO  [org.jboss.as.connector.subsystems.datasources] (ServerService Thread Pool -- 33) JBAS010403: Deploying JDBC-compliant driver class org.h2.Driver (version 1.3)
11:02:35,434 WARN  [org.jboss.as.messaging] (MSC service thread 1-7) JBAS011600: AIO wasn't located on this platform, it will fall back to using pure Java NIO. If your platform is Linux, install LibAIO to enable the AIO journal
11:02:35,456 INFO  [org.apache.coyote.http11.Http11Protocol] (MSC service thread 1-5) Starting Coyote HTTP/1.1 on http-localhost-127.0.0.1-8080
11:02:35,507 WARN  [jacorb.codeset] (MSC service thread 1-9) Warning - unknown codeset (Cp1252) - defaulting to ISO-8859-1
11:02:35,514 INFO  [org.jboss.as.remoting] (MSC service thread 1-4) JBAS017100: Listening on localhost/127.0.0.1:4447
11:02:35,515 INFO  [org.jboss.as.remoting] (MSC service thread 1-5) JBAS017100: Listening on /127.0.0.1:9999
11:02:35,515 INFO  [org.jboss.as.server.deployment.scanner] (MSC service thread 1-11) JBAS015012: Started FileSystemDeploymentService for directory C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\deployments
11:02:35,529 INFO  [org.jboss.as.jacorb] (MSC service thread 1-9) JBAS016330: CORBA ORB Service started
11:02:35,585 INFO  [org.jboss.as.jacorb] (MSC service thread 1-6) JBAS016328: CORBA Naming Service started
11:02:35,611 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-4) JBAS010400: Bound data source [java:jboss/datasources/jbpmDS]
11:02:35,612 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-5) JBAS010400: Bound data source [java:jboss/datasources/ExampleDS]
11:02:37,023 INFO  [org.hornetq.core.server.impl.HornetQServerImpl] (MSC service thread 1-7) live server is starting with configuration HornetQ Configuration (clustered=false,backup=false,sharedStore=true,journalDirectory=C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\data\messagingjournal,bindingsDirectory=C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\data\messagingbindings,largeMessagesDirectory=C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\data\messaginglargemessages,pagingDirectory=C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\data\messagingpaging)
11:02:37,042 INFO  [org.hornetq.core.server.impl.HornetQServerImpl] (MSC service thread 1-7) Waiting to obtain live lock
11:02:37,071 INFO  [org.hornetq.core.persistence.impl.journal.JournalStorageManager] (MSC service thread 1-7) Using NIO Journal
11:02:37,689 INFO  [org.hornetq.core.server.impl.FileLockNodeManager] (MSC service thread 1-7) Waiting to obtain live lock
11:02:37,693 INFO  [org.hornetq.core.server.impl.FileLockNodeManager] (MSC service thread 1-7) Live Server Obtained live lock
11:02:43,791 INFO  [org.hornetq.core.remoting.impl.netty.NettyAcceptor] (MSC service thread 1-7) Started Netty Acceptor version 3.2.5.Final-a96d88c localhost:5445 for CORE protocol
11:02:43,794 INFO  [org.hornetq.core.remoting.impl.netty.NettyAcceptor] (MSC service thread 1-7) Started Netty Acceptor version 3.2.5.Final-a96d88c localhost:5455 for CORE protocol
11:02:43,798 INFO  [org.hornetq.core.server.impl.HornetQServerImpl] (MSC service thread 1-7) Server is now live
11:02:43,799 INFO  [org.hornetq.core.server.impl.HornetQServerImpl] (MSC service thread 1-7) HornetQ Server version 2.2.13.Final (HQ_2_2_13_FINAL_AS7, 122) [5c42ecee-6be5-11e4-aa35-001999bf076c]) started
11:02:43,803 INFO  [org.hornetq.core.server.impl.HornetQServerImpl] (MSC service thread 1-7) trying to deploy queue jms.queue.testQueue
11:02:43,841 INFO  [org.jboss.as.deployment.connector] (MSC service thread 1-13) JBAS010406: Registered connection factory java:/JmsXA
11:02:43,849 INFO  [org.hornetq.ra.HornetQResourceAdapter] (MSC service thread 1-13) HornetQ resource adaptor started
11:02:43,851 INFO  [org.jboss.as.connector.services.ResourceAdapterActivatorService$ResourceAdapterActivator] (MSC service thread 1-13) IJ020002: Deployed: file://RaActivatorhornetq-ra
11:02:43,855 INFO  [org.jboss.as.deployment.connector] (MSC service thread 1-12) JBAS010401: Bound JCA ConnectionFactory [java:/JmsXA]
